아이디	테스트
비밀번호	dbgk12
생년월일	0
아이디등급	5000
접속일자	2019/02/19 14:30:42
접속아이피	0.0.0.0
아이디제재	0
길드타이틀	초보자
유저타이틀	
서브타이틀	
타이틀	0
등급	1
플레이시간	1
살인	0
틱박스	2128
표정	0
바디염색	0
아이콘1	5
아이콘2	0
가방슬롯	0
국적	1
포인트	0
이지	0
데스포인트	0
직업번호	2
승급번호	2
순수	1
길드	0
전직	0
레벨	99
어빌	50
최대체력	499500
현재체력	595833
최대마력	999500
현재마력	1094833
경험치	0
보유경험치	530958611
어빌경험치	1
어빌보유경험치	0
현재방어력	100
어둠사랑포인트	150
힘	150
지력	3
지혜	3
지구력	3
민첩	3
코마	0
금전	25500000
맡긴금전	0
맵이름	고대신전
X좌표	18
Y좌표	14
성별	1
살인자	0
바디	16
상태	0
머리	17
머리색	0
갑옷색	0
귓속말	1
교환	1
그룹	1
그룹	0
피케이	1
길드등급	1
길드마스터	(null)
가호배율	0
가호타입	0
가호시간	0
드랍배율	0
드랍시간	0
그룹가능	1
순위	0
